Category,Question,RegexPattern,Synonyms_Typos,ExampleResponse_EN,ExampleResponse_HI,ExampleResponse_FR,ExampleResponse_TA
Service Requests & Ticketing,How do I create a support ticket?,\b(how|do|i|create|a|support|ticket)\b,"case, incident, support request, SR, टिकट, அஞ்சல் சீட்டு",This is how you can handle: How do I create a support ticket?,यहाँ बताया गया है: How do I create a support ticket?,Voici comment procéder : How do I create a support ticket?,இதை எப்படி செய்யலாம்: How do I create a support ticket?
Service Requests & Ticketing,How do I check the status of my ticket?,\b(how|do|i|check|the|status|of|my|ticket)\b,"case, incident, support request, SR, टिकट, அஞ்சல் சீட்டு",This is how you can handle: How do I check the status of my ticket?,यहाँ बताया गया है: How do I check the status of my ticket?,Voici comment procéder : How do I check the status of my ticket?,இதை எப்படி செய்யலாம்: How do I check the status of my ticket?
Service Requests & Ticketing,How long does it take to resolve an issue?,\b(how|long|does|it|take|to|resolve|an|issue)\b,,This is how you can handle: How long does it take to resolve an issue?,यहाँ बताया गया है: How long does it take to resolve an issue?,Voici comment procéder : How long does it take to resolve an issue?,இதை எப்படி செய்யலாம்: How long does it take to resolve an issue?
Service Requests & Ticketing,What details should I provide when submitting a ticket?,\b(what|details|should|i|provide|when|submitting|a|ticket)\b,"case, incident, support request, SR, टिकट, அஞ்சல் சீட்டு",This is how you can handle: What details should I provide when submitting a ticket?,यहाँ बताया गया है: What details should I provide when submitting a ticket?,Voici comment procéder : What details should I provide when submitting a ticket?,இதை எப்படி செய்யலாம்: What details should I provide when submitting a ticket?
Company Policies & Guides,What is the IT support service hours?,\b(what|is|the|it|support|service|hours)\b,,This is how you can handle: What is the IT support service hours?,यहाँ बताया गया है: What is the IT support service hours?,Voici comment procéder : What is the IT support service hours?,இதை எப்படி செய்யலாம்: What is the IT support service hours?
Company Policies & Guides,What’s the acceptable use policy for company devices?,\b(what’s|the|acceptable|use|policy|for|company|devices)\b,,This is how you can handle: What’s the acceptable use policy for company devices?,यहाँ बताया गया है: What’s the acceptable use policy for company devices?,Voici comment procéder : What’s the acceptable use policy for company devices?,இதை எப்படி செய்யலாம்: What’s the acceptable use policy for company devices?
Company Policies & Guides,How do I return IT equipment when leaving the company?,\b(how|do|i|return|it|equipment|when|leaving|the|company)\b,,This is how you can handle: How do I return IT equipment when leaving the company?,यहाँ बताया गया है: How do I return IT equipment when leaving the company?,Voici comment procéder : How do I return IT equipment when leaving the company?,இதை எப்படி செய்யலாம்: How do I return IT equipment when leaving the company?
Miscellaneous,Who do I contact for urgent IT issues?,\b(who|do|i|contact|for|urgent|it|issues)\b,,This is how you can handle: Who do I contact for urgent IT issues?,यहाँ बताया गया है: Who do I contact for urgent IT issues?,Voici comment procéder : Who do I contact for urgent IT issues?,இதை எப்படி செய்யலாம்: Who do I contact for urgent IT issues?
Miscellaneous,How do I join a video conference?,\b(how|do|i|join|a|video|conference)\b,,This is how you can handle: How do I join a video conference?,यहाँ बताया गया है: How do I join a video conference?,Voici comment procéder : How do I join a video conference?,இதை எப்படி செய்யலாம்: How do I join a video conference?
Miscellaneous,How do I access shared drives or cloud storage?,\b(how|do|i|access|shared|drives|or|cloud|storage)\b,,This is how you can handle: How do I access shared drives or cloud storage?,यहाँ बताया गया है: How do I access shared drives or cloud storage?,Voici comment procéder : How do I access shared drives or cloud storage?,இதை எப்படி செய்யலாம்: How do I access shared drives or cloud storage?
